1,-0.9968648898982337,-6650.0,"(0, 0)","[1000.           97.13         62.91        125.63          0.
    0.            0.           -4.08438442   -2.04149616   -4.52544116
   36.89784022   33.28999654   36.27370657 -131.4368033  -150.7624021
 -191.433736     53.7374346    54.88234854   50.08343628]",[-0.68866336 -0.68866336 -0.68866336]
1,-9.568403471746365,-6660.0,"(1, 1)","[1000.           97.13         62.91        125.63          0.
    0.            0.           -4.08438442   -2.04149616   -4.52544116
   36.89784022   33.28999654   36.27370657 -131.4368033  -150.7624021
 -191.433736     53.7374346    54.88234854   50.08343628]",[-0.68866336 -0.68866336 -0.68866336]
0,1,2,3,4,5
1,-0.9968648898982337,-6660.0,"(0, 0)","[1000.           96.66         62.64        126.06          0.
    0.            0.           -4.09860934   -2.07554774   -4.77587386
   36.53215625   32.85628544   36.76956356 -119.2720367  -124.9255852
 -161.9042194    46.37189204   44.71359395   49.5861119 ]",[-1. -1. -1.]
1,-9.568403471746365,-6670.0,"(1, 1)","[1000.           96.66         62.64        126.06          0.
    0.            0.           -4.09860934   -2.07554774   -4.77587386
   36.53215625   32.85628544   36.76956356 -119.2720367  -124.9255852
 -161.9042194    46.37189204   44.71359395   49.5861119 ]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6670.0,"(0, 0)","[1000.           96.79         63.03        122.14          0.
    0.            0.           -4.05267605   -2.04746225   -5.23036246
   36.71162864   34.13844729   34.2558629  -118.4833399  -119.0494641
 -176.6521318    51.83066398   49.28314697   58.69233138]",[-0.8233572 -0.8233572 -0.8233572]
1,-9.568403471746365,-6680.0,"(1, 1)","[1000.           96.79         63.03        122.14          0.
    0.            0.           -4.05267605   -2.04746225   -5.23036246
   36.71162864   34.13844729   34.2558629  -118.4833399  -119.0494641
 -176.6521318    51.83066398   49.28314697   58.69233138]",[-0.8233572 -0.8233572 -0.8233572]
0,1,2,3,4,5
1,-0.9968648898982337,-6680.0,"(0, 0)","[1000.           96.3          62.64        123.4           0.
    0.            0.           -4.00959241   -2.03323616   -5.42632517
   36.31125895   33.47713137   35.71712497 -107.170859    -96.5479312
 -144.3598443    51.83066398   39.1862833    52.88863754]",[-1. -1. -1.]
1,-9.568403471746365,-6690.0,"(1, 1)","[1000.           96.3          62.64        123.4           0.
    0.            0.           -4.00959241   -2.03323616   -5.42632517
   36.31125895   33.47713137   35.71712497 -107.170859    -96.5479312
 -144.3598443    51.83066398   39.1862833    52.88863754]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6690.0,"(0, 0)","[1000.          101.42         55.06        124.61          0.
    0.            0.           -3.52171101   -2.60359194   -5.42149454
   43.02741259   24.09315747   37.10585986  -53.85532204 -227.8853848
 -121.726016     26.50517443   65.75489164   52.88863754]",[-1. -1. -1.]
1,-9.568403471746365,-6700.0,"(1, 1)","[1000.          101.42         55.06        124.61          0.
    0.            0.           -3.52171101   -2.60359194   -5.42149454
   43.02741259   24.09315747   37.10585986  -53.85532204 -227.8853848
 -121.726016     26.50517443   65.75489164   52.88863754]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6700.0,"(0, 0)","[1000.           99.44         55.02        124.01          0.
    0.            0.           -3.25728301   -3.02397221   -5.40378969
   41.28570151   24.05634607   36.69916436  -53.85271714 -215.94182
 -112.696391     26.06565927   65.75489164   52.88863754]",[-1. -1. -1.]
1,-9.568403471746365,-6710.0,"(1, 1)","[1000.           99.44         55.02        124.01          0.
    0.            0.           -3.25728301   -3.02397221   -5.40378969
   41.28570151   24.05634607   36.69916436  -53.85271714 -215.94182
 -112.696391     26.06565927   65.75489164   52.88863754]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6710.0,"(0, 0)","[1000.           99.99         55.09        128.01          0.
    0.            0.           -2.96911539   -3.3132847    -5.0092484
   41.9608091    24.26582568   41.14774982  -54.69381584 -186.5071726
  -82.69216021   30.28241477   65.75489164   35.90138394]",[-0.64879483 -0.64879483 -0.64879483]
