0,1,2,3,4
-0.4711896325225098,-15737.771000000017,"(0,)","[ 17.14527783  29.72457143  42.16        59.2          0.
   5.0768733   13.77940893   0.36270497   0.59782225   1.64032959
  54.55211608  57.82451141  58.72795097  44.84220824 100.8446049
  68.13574236   1.99562754  25.1886199   17.91380606]",[-0.72586167  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-15769.371000000017,"(0,)","[  17.14527783   28.25         38.59         57.77          0.
    5.0768733    13.77940893    0.19962089    0.27069242    1.36248472
   48.10709306   46.24954781   55.06789446  -43.32609006 -183.6761977
   23.84284193   28.33925101   25.87300488    4.87246786]",[-1.         0.7816958  0.7816958]
0,1,2,3,4
-0.4711896325225098,-15791.671000000017,"(0,)","[ 1.71452778e+01  2.90107143e+01  3.77900000e+01  5.77800000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01  1.30257342e-01
 -5.25083680e-02  1.13007082e+00  5.11849313e+01  4.41985702e+01
  5.50881429e+01 -2.84179354e+01 -2.82551784e+02  1.62903469e+01
  2.83392510e+01  3.19981557e+01  2.84591933e+00]",[-0.73029053  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-15804.371000000017,"(0,)","[ 1.71452778e+01  2.94200000e+01  3.81000000e+01  5.77100000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01  1.07077840e-01
 -2.80400625e-01  9.29517820e-01  5.27448961e+01  4.51732035e+01
  5.49089590e+01  1.87634124e+01 -2.45555813e+02  8.93954923e+00
  6.29056214e-01  3.19981557e+01  5.57220104e-02]",[-0.82188815  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-15798.471000000018,"(0,)","[ 1.71452778e+01  2.96977143e+01  3.86700000e+01  6.19300000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01  1.09850848e-01
 -4.10283155e-01  1.09843478e+00  5.37816372e+01  4.69361185e+01
  6.25132138e+01 -6.63036535e-01 -2.04379910e+02  8.91759483e+01
  7.82810204e+00  3.19981557e+01  2.78135968e+01]",[-0.7893917  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-15784.471000000018,"(0,)","[ 1.71452778e+01  2.84700000e+01  3.74300000e+01  6.25600000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01  1.28342488e-02
 -6.06284759e-01  1.26851576e+00  4.88775993e+01  4.37689260e+01
  6.34647596e+01 -6.27113232e+01 -2.25932526e+02  1.15365388e+02
  9.73334415e+00  4.06760168e+01  3.26712735e+01]",[-1.         0.9274774  0.9274774]
0,1,2,3,4
-0.4711896325225098,-15793.671000000018,"(0,)","[ 1.71452778e+01  2.74375714e+01  3.76600000e+01  6.06000000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01 -1.45681141e-01
 -7.34590464e-01  1.23096079e+00  4.52853728e+01  4.44876894e+01
  5.86716374e+01 -1.40664040e+02 -1.78683075e+02  8.71663633e+01
  2.62938858e+01  3.87828388e+01  2.26329751e+01]",[-1.        0.919187  0.919187]
0,1,2,3,4
-0.4711896325225098,-15800.571000000018,"(0,)","[  17.14527783   27.81857143   38.21         61.7           0.
    5.0768733    13.77940893   -0.23782076   -0.78286883    1.27525863
   46.77860824   46.18920964   60.40766588 -148.7553003  -147.7391513
   81.24279992   26.29388584   38.78283876   22.6329751 ]",[-0.3856027  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-15865.471000000018,"(0,)","[  17.14527783   27.98         39.02         61.94          0.
    5.0768733    13.77940893   -0.29442223   -0.7471568     1.31457735
   47.40771674   48.58993006   60.77951216 -138.1708454   -95.66851586
   81.62350801   25.29913135   22.57255938   23.56748006]",[-1.          0.84038025  0.84038025]
0,1,2,3,4
-0.4711896325225098,-15851.771000000017,"(0,)","[  17.14527783   28.46142857   38.33         61.46          0.
    5.0768733    13.77940893   -0.2970083    -0.76570541    1.29211108
   49.25817841   46.75187476   59.62098889 -108.0954225  -106.1728493
   70.50198636   13.69238725   25.38897242   21.88135452]",[-1.          0.96273494  0.96273494]
0,1,2,3,4
-0.4711896325225098,-15890.771000000017,"(0,)","[  17.14527783   27.43571429   37.53         59.32          0.
    5.0768733    13.77940893   -0.37747308   -0.83532947    1.08907214
   45.71317048   44.72276697   54.80318472 -152.2772495  -121.1341862
   27.72236734   19.54427683   32.64191169    5.47122111]",[-0.9784678  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-15920.471000000016,"(0,)","[  17.14527783   27.92285714   37.85         58.4           0.
    5.0768733    13.77940893   -0.3973532    -0.85483175    0.84419465
   47.56711119   45.69799285   52.9020209  -141.9926048  -123.587745
  -19.6292192    20.99096558   40.15608902   11.35397953]",[-1.       0.92301  0.92301]
0,1,2,3,4
-0.4711896325225098,-15925.971000000016,"(0,)","[  17.14527783   27.73142857   36.79         57.89          0.
    5.0768733    13.77940893   -0.42367121   -0.94492805    0.60203486
   46.91579168   43.09278358   51.87012324 -118.8869661  -123.2896961
  -30.99592264   15.20877034   40.15608902   11.35397953]",[-1.          0.97554725  0.97554725]
0,1,2,3,4
-0.4711896325225098,-15948.371000000016,"(0,)","[  17.14527783   28.02714286   37.54         59.74          0.
    5.0768733    13.77940893   -0.41587283   -0.94491884    0.55302608
   48.05247881   45.37227146   55.15277456  -99.19237615 -101.1300981
    7.46428296   15.20877034   40.15608902    1.11511664]",[-1.         0.5707467  0.5707467]
0,1,2,3,4
-0.4711896325225098,-15946.571000000014,"(0,)","[ 17.14527783  27.87371429  37.75        59.54         0.
   5.0768733   13.77940893  -0.41726301  -0.91739119   0.49237217
  47.50648752  45.99881965  54.73527232 -98.35467022 -88.76616044
   2.29171733  16.39869236  35.89902806   1.11511664]",[-1.          0.98270184  0.98270184]
0,1,2,3,4
-0.4711896325225098,-15956.871000000014,"(0,)","[ 17.14527783  28.38142857  38.29        60.59         0.
   5.0768733   13.77940893  -0.37309562  -0.84229242   0.52300092
  49.47183717  47.59760515  56.522732   -70.43018684 -66.07631873
  20.33655097   6.16081372  26.79274549   6.83235039]",[-1.         0.9655245  0.9655245]
0,1,2,3,4
-0.4711896325225098,-15933.571000000014,"(0,)","[ 17.14527783  28.62571429  38.42        59.65         0.
   5.0768733   13.77940893  -0.31475256  -0.7634852    0.46605191
  50.39621799  47.98115384  54.52856191 -49.73567009 -59.97559644
 -12.41546396   0.49180075  25.62120103   6.73810911]",[-1.         0.9722477  0.9722477]
0,1,2,3,4
-0.4711896325225098,-15926.971000000014,"(0,)","[ 17.14527783  29.05714286  39.62        61.26         0.
   5.0768733   13.77940893  -0.23103931  -0.59731447   0.54455567
  52.00052683  51.37937078  57.20381798 -10.02682614 -17.17023059
  45.61227882   5.36741727   5.83887736  17.40801498]",[-0.76642245  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-15945.671000000013,"(0,)","[ 17.14527783  28.93571429  39.05        61.82         0.
   5.0768733   13.77940893  -0.17250569  -0.50578682   0.64452806
  51.51541084  49.78138031  58.09101329  -9.74996024 -20.92069308
  85.13678827   3.29469639   5.83887736  22.33075534]",[-1.         0.8713671  0.8713671]
0,1,2,3,4
-0.4711896325225098,-15972.071000000013,"(0,)","[ 1.71452778e+01  2.89897143e+01  3.91500000e+01  6.28900000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01 -1.20372440e-01
 -4.20335953e-01  8.00865079e-01  5.17226051e+01  5.00632537e+01
  5.97406926e+01 -5.75833231e+00 -2.26772388e+01  1.34382825e+02
  3.29469639e+00  7.06625632e+00  2.87852971e+01]",[-0.51617956  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-15965.971000000012,"(0,)","[ 1.71452778e+01  2.88100000e+01  3.90600000e+01  6.35900000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01 -9.24917217e-02
 -3.55776605e-01  9.70065139e-01  5.09726702e+01  4.98029918e+01
  6.07853601e+01 -9.09401709e+00 -2.45257109e+01  1.79198942e+02
  3.29469639e+00  9.43241998e+00  3.62435087e+01]",[-1.          0.90522057  0.90522057]
0,1,2,3,4
-0.4711896325225098,-15967.471000000012,"(0,)","[ 1.71452778e+01  2.86308571e+01  3.89300000e+01  6.39700000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01 -8.38844157e-02
 -3.11511855e-01  1.12188781e+00  5.02217817e+01  4.94190987e+01
  6.13485904e+01 -2.18547071e+01 -2.04783043e+01  1.81994594e+02
  3.45396027e+00  8.25389560e+00  3.69336188e+01]",[-1.         0.8758336  0.8758336]
0,1,2,3,4
-0.4711896325225098,-15997.971000000012,"(0,)","[ 1.71452778e+01  2.81512857e+01  3.79300000e+01  6.27700000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01 -1.14441262e-01
 -3.53053583e-01  1.13232565e+00  4.82532532e+01  4.65629843e+01
  5.85991158e+01 -5.22901593e+01 -5.15108183e+01  1.28740103e+02
  1.43020098e+01  2.25244518e+01  2.63616149e+01]",[-0.9892163  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-15994.171000000013,"(0,)","[ 1.71452778e+01  2.86651429e+01  3.84100000e+01  6.34800000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01 -9.60861847e-02
 -3.43286520e-01  1.18423762e+00  5.04078922e+01  4.80537169e+01
  5.97044722e+01 -2.28860759e+01 -4.00291565e+01  1.29356319e+02
  1.38696926e+01  2.25244518e+01  2.63616149e+01]",[-0.6768439  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16000.071000000013,"(0,)","[ 1.71452778e+01  2.88571429e+01  3.80400000e+01  6.28700000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01 -6.52941874e-02
 -3.61237835e-01  1.16275284e+00  5.11934029e+01  4.70080025e+01
  5.83205582e+01 -1.15190749e+01 -6.72727906e+01  8.94525690e+01
  8.22135143e+00  3.43199120e+01  1.92016794e+01]",[-1.         0.8330555  0.8330555]
0,1,2,3,4
-0.4711896325225098,-16010.371000000014,"(0,)","[ 1.71452778e+01  2.92314286e+01  3.81900000e+01  6.31600000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01 -1.05677599e-02
 -3.59219772e-01  1.15580320e+00  5.27041368e+01  4.74872542e+01
  5.87903363e+01  4.11566184e+01 -4.79855450e+01  1.16043925e+02
  3.72345077e-01  3.01702980e+01  2.56084975e+01]",[-0.9208484  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-15991.771000000013,"(0,)","[ 1.71452778e+01  2.98557143e+01  3.81300000e+01  6.40000000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01  8.22300707e-02
 -3.58331322e-01  1.20419532e+00  5.51020808e+01  4.73102060e+01
  6.01366587e+01  1.04956055e+02 -4.50851083e+01  1.24700529e+02
  1.40483946e+01  3.01702980e+01  2.86012148e+01]",[-0.9237415  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16028.371000000014,"(0,)","[ 17.14527783  29.83571429  38.39        64.44         0.
   5.0768733   13.77940893   0.15240239  -0.33281095   1.26348607
  55.00964833  48.17634533  60.83008342 120.7173001  -16.24261713
 147.992041    17.75533768  15.95154361  34.82918726]",[-0.42849827  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-16045.871000000014,"(0,)","[ 17.14527783  29.90428571  38.28        64.45         0.
   5.0768733   13.77940893   0.211114    -0.31779857   1.29633795
  55.27574302  47.8322139   60.84609637 124.6102628   -8.52511373
 126.9278718   17.75533768  15.74676797  31.04136441]",[-1.         0.6502345  0.6502345]
0,1,2,3,4
-0.4711896325225098,-16034.571000000014,"(0,)","[ 17.14527783  30.10142857  38.89        65.55         0.
   5.0768733   13.77940893   0.27043377  -0.25375413   1.39505281
  56.04886501  49.88579446  62.58654947 144.6628048   29.576986
 148.797254    20.83538972  14.66442685  36.1733769 ]",[-1.          0.48733026  0.48733026]
0,1,2,3,4
-0.4711896325225098,-16075.971000000014,"(0,)","[ 1.71452778e+01  3.12785714e+01  4.02000000e+01  6.79300000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01  4.07730642e-01
 -9.61836572e-02  1.64635303e+00  6.02890654e+01  5.39159746e+01
  6.59721045e+01  2.45051905e+02  1.96987145e+02  1.95858840e+02
  4.06895137e+01  8.26081254e+00  4.74548391e+01]",[-1.          0.60694623  0.60694623]
0,1,2,3,4
-0.4711896325225098,-16093.471000000014,"(0,)","[ 1.71452778e+01  3.12971429e+01  3.97100000e+01  6.72400000e+01
  0.00000000e+00  5.07687330e+00  1.37794089e+01  5.12134393e-01
 -1.07232129e-02  1.76943607e+00  6.03514938e+01  5.22888503e+01
  6.42289795e+01  2.25343261e+02  1.93308190e+02  1.80362468e+02
  4.13874949e+01  9.57496713e+00  4.74548391e+01]",[-0.87106967  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-16104.071000000014,"(0,)","[1.71452778e+01 3.18600000e+01 3.97000000e+01 6.77900000e+01
 0.00000000e+00 5.07687330e+00 1.37794089e+01 6.32996199e-01
 5.55574567e-02 1.88957878e+00 6.22139253e+01 5.22555565e+01
 6.49917183e+01 2.22359777e+02 1.47556195e+02 1.75985761e+02
 4.94011949e+01 4.67220244e+00 4.89731326e+01]",[-1.         0.6045543  0.6045543]
0,1,2,3,4
-0.4711896325225098,-16115.471000000014,"(0,)","[1.71452778e+01 3.21200000e+01 3.97200000e+01 7.00100000e+01
 0.00000000e+00 5.07687330e+00 1.37794089e+01 7.41215606e-01
 1.08449064e-01 2.13926804e+00 6.30434762e+01 5.23183708e+01
 6.78538343e+01 2.17432663e+02 1.32767908e+02 2.06764285e+02
 5.01139581e+01 4.09771242e+00 5.74883299e+01]",[-0.5011743  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16122.971000000014,"(0,)","[1.71452778e+01 3.22142857e+01 4.01100000e+01 7.00700000e+01
 0.00000000e+00 5.07687330e+00 1.37794089e+01 8.25077356e-01
 1.79763582e-01 2.31530073e+00 6.33453573e+01 5.35511026e+01
 6.79271464e+01 1.89648082e+02 1.40886342e+02 1.91451856e+02
 5.01452379e+01 7.88093911e+00 5.74883299e+01]",[-1.          0.51848614  0.51848614]
0,1,2,3,4
-0.4711896325225098,-16120.171000000013,"(0,)","[ 17.14527783  32.37142857  40.76        69.83         0.
   5.0768733   13.77940893   0.89391403   0.28544004   2.40768759
  63.85442101  55.53320193  67.29211698 176.588864   197.4049912
 168.5961665   53.61203903  21.31186565  57.71440524]",[-1.          0.77954125  0.77954125]
0,1,2,3,4
-0.4711896325225098,-16107.671000000013,"(0,)","[ 17.14527783  31.97714286  40.7         69.4          0.
   5.0768733   13.77940893   0.90620585   0.36019579   2.41833043
  61.63267806  55.30783107  66.14598555 132.4114155  163.9443213
 137.6989173   29.81288123  13.80002932  47.51188923]",[-1.          0.77880913  0.77880913]
0,1,2,3,4
-0.4711896325225098,-16065.771000000013,"(0,)","[ 17.14527783  32.06428571  40.92        68.72         0.
   5.0768733   13.77940893   0.91246063   0.43221017   2.3448645
  61.93548592  55.98537391  64.35289576 124.7585549  163.2887764
 115.3865579   29.81288123  14.7406131   44.50048713]",[-1.          0.88643885  0.88643885]
0,1,2,3,4
-0.4711896325225098,-16072.071000000014,"(0,)","[ 17.14527783  32.01714286  41.01        69.38         0.
   5.0768733   13.77940893   0.903202     0.49088571   2.31323319
  61.6631289   56.26596121  65.29743161 117.7884717  159.6105762
 110.6394011   32.983891    19.14194515  45.44798809]",[-1.         0.8540329  0.8540329]
0,1,2,3,4
-0.4711896325225098,-16066.571000000014,"(0,)","[ 17.14527783  32.09285714  41.          70.87         0.
   5.0768733   13.77940893   0.89169507   0.53046471   2.38094959
  61.94118947  56.2247629   67.31973078 104.7050499  133.8578314
 125.0751229   30.16152654  14.19084664  52.56687746]",[-0.5602467  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16064.371000000014,"(0,)","[ 17.14527783  31.74998571  40.33        70.72         0.
   5.0768733   13.77940893   0.84516634   0.50198142   2.39490461
  59.90570559  53.50919836  66.91363669  89.47809028 109.4533482
 137.0526608   24.26674351  17.84055429  61.42359467]",[-0.6727481  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16008.571000000014,"(0,)","[ 17.14527783  32.10714286  41.08        71.91         0.
   5.0768733   13.77940893   0.82757185   0.53377393   2.47347445
  61.27693205  55.97168713  68.47436428  86.7827084  106.9478869
 133.064377    19.73047995   7.87516073  61.42359467]",[-0.6971228  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16039.571000000014,"(0,)","[ 17.14527783  32.62285714  41.24        72.18         0.
   5.0768733   13.77940893   0.84549557   0.56536323   2.52838273
  63.15898269  56.48040158  68.81958749 100.4210865  125.6748375
 124.1977464   27.05721427  10.23512609  61.42359467]",[-0.99060225  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-16057.371000000014,"(0,)","[ 17.14527783  32.76714286  41.01        72.32         0.
   5.0768733   13.77940893   0.86141307   0.56532222   2.55375665
  63.67003337  55.52634911  69.00166739 104.3429326  114.2531183
 120.2867947   30.52000921  11.90522386  63.42962753]",[-1.          0.97434634  0.97434634]
0,1,2,3,4
-0.4711896325225098,-16073.471000000014,"(0,)","[ 17.14527783  32.37857143  41.42        72.49         0.
   5.0768733   13.77940893   0.83307022   0.59155422   2.55809512
  61.30100248  56.86984032  69.22739699  91.21574005 138.4131365
 115.7834316   24.89608882  25.4195793   64.23191255]",[-0.5057527  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16085.371000000014,"(0,)","[ 17.14527783  32.98571429  41.12        72.59         0.
   5.0768733   13.77940893   0.84980366   0.58143338   2.54031933
  63.49640695  55.59851729  69.36315597 100.6174388  107.0230974
 109.0146512   27.49360123  18.54454908  64.23191255]",[-1.         0.9117726  0.9117726]
0,1,2,3,4
-0.4711896325225098,-16119.971000000014,"(0,)","[ 17.14527783  33.19857143  41.48        74.11         0.
   5.0768733   13.77940893   0.87020958   0.59559587   2.61869649
  64.23231948  56.79743115  71.35056483 107.9744285  107.2534447
 125.8679276   32.39047794  18.54454908  69.37268622]",[-0.874694  1.        1.      ]
0,1,2,3,4
-0.4711896325225098,-16138.471000000014,"(0,)","[ 17.14527783  33.69214286  41.29        73.53         0.
   5.0768733   13.77940893   0.91565343   0.58474773   2.60399259
  65.88221504  55.97227185  69.56914003 121.4444221   93.35215743
 111.5153288   40.47159504  18.54454908  64.45078442]",[-0.9479004  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16151.471000000014,"(0,)","[ 17.14527783  33.57142857  41.26        72.61         0.
   5.0768733   13.77940893   0.93119316   0.56719151   2.48940699
  65.12219227  55.8397634   66.83114855 112.7293607   84.03917082
  88.23391268  40.47159504  12.32050512  52.59998205]",[-1.          0.65680313  0.65680313]
0,1,2,3,4
-0.4711896325225098,-16111.671000000013,"(0,)","[ 17.14527783  33.71        41.7         72.99         0.
   5.0768733   13.77940893   0.94381041   0.58207264   2.40157604
  65.59353493  57.37095974  67.37970629 110.8427661  102.1260063
  91.09397849  44.89162451  18.0684914   54.69400956]",[-0.92740303  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-16129.271000000013,"(0,)","[ 17.14527783  34.07        42.67        72.04         0.
   5.0768733   13.77940893   0.97165799   0.66447725   2.22961075
  66.79936477  60.49484835  64.61597946 115.8349242  133.5819684
  68.77857738  44.89162451  30.69588578  35.49758366]",[-0.77608657  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-16093.671000000013,"(0,)","[ 17.14527783  34.22        43.12        72.36         0.
   5.0768733   13.77940893   0.99436868   0.75736432   2.0949985
  67.29343974  61.83698488  65.11458775 124.32552    149.6747912
  73.96831933  48.46009543  36.86358959  36.3111326 ]",[-0.9944914  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16063.971000000012,"(0,)","[ 17.14527783  34.37142857  42.37        72.1          0.
   5.0768733   13.77940893   1.01290989   0.76167909   1.9449177
  67.79396222  58.41528829  64.35239701 134.0824402  128.3748276
  61.78300014  51.70634218  29.66255667  32.19798646]",[-1.         0.5835986  0.5835986]
0,1,2,3,4
-0.4711896325225098,-16061.771000000012,"(0,)","[ 17.14527783  34.27857143  43.69        72.28         0.
   5.0768733   13.77940893   1.00848594   0.86167866   1.81952769
  67.14216158  62.22134782  64.6487522  126.8907835  155.9305445
  57.31273896  48.02762141  35.93485193  28.60289979]",[-0.9162782  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16037.87100000001,"(0,)","[ 17.14527783  34.54142857  43.88        72.42         0.
   5.0768733   13.77940893   1.01449583   0.94536289   1.7117204
  68.04193259  62.72928791  64.88364538 131.525869   186.9032529
  61.53981956  48.77704562  39.02647857  30.16453959]",[-0.84230673  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-16066.17100000001,"(0,)","[ 17.14527783  34.61285714  44.54        71.92         0.
   5.0768733   13.77940893   1.01334123   1.05280366   1.56786316
  68.28606117  64.44702079  63.32899238 131.7312892  201.8938768
  52.56376791  51.30747977  44.625297    30.0125481 ]",[-0.9508854  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16100.77100000001,"(0,)","[ 17.14527783  34.63285714  44.99        71.19         0.
   5.0768733   13.77940893   1.00248402   1.16088058   1.3790535
  68.35607917  65.56636247  61.11723227 120.4849367  208.6109651
  20.37597934  46.71153906  49.48269952  11.8610484 ]",[-1.          0.70946276  0.70946276]
0,1,2,3,4
-0.4711896325225098,-16120.87100000001,"(0,)","[ 17.14527783  35.09857143  46.46        71.7          0.
   5.0768733   13.77940893   1.01970434   1.34959178   1.25609375
  69.95401306  68.87758278  62.07450841 135.9370369  243.2838321
  25.02182622  53.24013011  61.33980817  12.56369576]",[-0.92095625  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-16128.47100000001,"(0,)","[ 17.14527783  35.56        46.67        72.09         0.
   5.0768733   13.77940893   1.05838459   1.4988146    1.17655442
  71.43260177  69.31367196  62.79903112 146.6667966  222.6331924
  41.55735693  58.98618219  61.64627275  20.763088  ]",[-0.7023158  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16126.37100000001,"(0,)","[ 17.14527783  35.34285714  45.1         70.79         0.
   5.0768733   13.77940893   1.05930634   1.4734044    0.99712555
  69.76135665  62.53663132  58.91780166 135.4438032  148.5574057
  -9.21880028  62.23672709  23.22129892   3.02418763]",[-0.68332493  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-16109.57100000001,"(0,)","[ 17.14527783  35.29571429  45.76        70.96         0.
   5.0768733   13.77940893   1.04419595   1.48935476   0.85874537
  69.3967067   64.06458904  59.2584317  109.484708   136.0009125
 -22.02529809  45.94587389  23.22129892   3.02418763]",[-0.9150214  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16105.771000000012,"(0,)","[ 17.14527783  34.94142857  46.2         71.41         0.
   5.0768733   13.77940893   0.99219555   1.51997849   0.77643902
  66.6867534   65.04772143  60.16292135 102.4722711  143.9361917
   3.92314155  48.64271004  28.49894098  10.24711854]",[-0.7895391  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-16112.971000000012,"(0,)","[ 17.14527783  37.03142857  45.99        74.16         0.
   5.0768733   13.77940893   1.10687108   1.50989762   0.9224789
  73.09777273  64.18079084  65.06588864 192.8145817  128.660383
 114.34688     64.12001739  29.43228432  31.15460588]",[-1.          0.61655384  0.61655384]
0,1,2,3,4
-0.4711896325225098,-16132.971000000012,"(0,)","[ 17.14527783  38.06707143  46.77        75.59         0.
   5.0768733   13.77940893   1.26671804   1.54701491   1.1404591
  75.5133781   65.92571882  67.23512384 207.8693571  129.8680838
 201.600666    69.85789471  36.60714268  38.85323079]",[-0.69738495  1.          1.        ]
0,1,2,3,4
